id	replacement
2862295	592230
2862491	89502
2862424	128406
2862421	512275
4928422	153033
4928449	68552
4928447	68554
4928448	440123
4928450	1016589
4928491	596825
4928490	772189
2931219	1088240
2862168	822463
2862275	855443
4928258	520805
2862791	396911
2862556	518650
2862665	71103
2860851	176581
4331749	440756
3754715	236221
1093253	3837429
3754537	221963
628886	4124105
732096	1007899
732097	956946
732098	1007898
3655802	871927
2861268	365289
2861293	254404
2861566	1051937
2861564	1051939
4035633	634878
2861093	241498
3753551	252846
3656419	195883
3707020	531179
3707055	509899
627315	627305
3753304	354687
3706527	36728
4036103	653240
3060935	456271
3060951	1047428
3706911	894793
3325079	887834
3757337	234993
823841	75107
3757301	836688
5149141	867253
5149140	646828
5149136	621402
5149133	864199
5149132	867240
5149168	33264
5149169	485503
5149164	309835
5149156	816461
5149102	13512
5149106	229794
5149129	574153
5149182	414138
5149185	839125
5149170	201155
5149175	33263
5149176	485513
5149179	1061965
5149202	502582
824215	6063
5149224	903976
5149211	880810
5149000	787874
5149007	889837
5149027	816457
5149085	730598
5149079	207869
5149075	782053
5149077	450234
5149071	877320
5149067	504861
5149060	504848
5149063	504850
5149059	504846
5149058	554960
5149097	82027
5149098	82021
3628802	487777
3324700	887821
3491584	5224718
907442	5144742
3756140	1015574
3628261	228790
3756282	818009
3756518	1031270
3628682	4138111
3628642	648871
3628572	5223689
3628521	818387
4598657	228789
952968	4946124
907552	867474
3326219	925903
3326241	449904
3115047	462505
3582223	383883
3115161	462664
3582286	932908
3582324	1084383
3756087	890968
3756098	593942
3756093	1081050
3756000	560539
3756011	560540
3756019	923434
3756016	560549
3756040	716961
3756055	1036763
3326662	751862
3115409	1068613
3115538	690574
3755943	890969
3755903	463970
3755989	1036764
4599595	455660
3492187	403907
3492185	751614
3755762	823313
3755789	1018704
3755785	4061434
3755817	447624
3755851	502978
3755836	994596
3755890	463971
3755882	973744
671251	3607538
3447153	340648
3755131	414599
3755122	535155
3755235	312481
3755214	420356
3755212	7941
3755225	7955
3447564	229382
544044	157840
3447607	434798
3755003	535163
3755004	588055
3447625	662210
3755024	82647
3755025	961588
3755022	698653
3755026	758311
3755586	73777
3755567	73766
3755556	234327
3755512	1078223
3755500	73767
3755655	262195
3755607	3704322
3755604	73772
3755318	316534
3755371	663891
5013382	4175410
3755430	699898
3755462	219843
3755471	485744
3755396	73776
3755393	475871
3759722	1016663
4462967	102570
3581389	544732
3759896	275844
4462600	102572
3327454	749653
4030937	920809
5147530	308797
4161698	529906
5147498	951772
4161362	677197
5147259	162375
