name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Adenophora Adenophora racemosa	|	1049763	|	misspelling	|	Adenophora Adenophora racemosa (synonym for Adenophora racemosa)	|	ncbi:1049763	|	
Adenophora gmelinii var. coronopifolia	|	1049757	|	synonym	|	Adenophora gmelinii var. coronopifolia (synonym for Adenophora coronopifolia)	|	ncbi:1049757	|	
Adenophora tetraphylla	|	187269	|	synonym	|	Adenophora tetraphylla (synonym for Adenophora triphylla)	|	ncbi:187269	|	
Adenophora pereskifolia	|	226229	|	misspelling	|	Adenophora pereskifolia (synonym for Adenophora pereskiifolia)	|	ncbi:226229	|	
Musschia wollostoni	|	649681	|	misspelling	|	Musschia wollostoni (synonym for Musschia wollastonii)	|	ncbi:649681	|	
Lobelia calcarata	|	252768	|	synonym	|	Lobelia calcarata (synonym for Heterotoma lobelioides)	|	ncbi:252768	|	
Campanula massakskyi	|	1241128	|	misspelling	|	Campanula massakskyi (synonym for Campanula massalskyi)	|	ncbi:1241128	|	
Symphyandra armena	|	239472	|	synonym	|	Symphyandra armena (synonym for Campanula armena)	|	ncbi:239472	|	
Campanula scheutzeri	|	361399	|	misspelling	|	Campanula scheutzeri (synonym for Campanula scheuchzeri)	|	ncbi:361399	|	
Campanula koyunceri	|	1241108	|	misspelling	|	Campanula koyunceri (synonym for Campanula koyuncui)	|	ncbi:1241108	|	
Symphyandra wanneri	|	1282957	|	synonym	|	Symphyandra wanneri (synonym for Campanula wanneri)	|	ncbi:1282957	|	
Campanula publicalyx	|	428193	|	synonym	|	Campanula publicalyx (synonym for Campanula pubicalyx)	|	ncbi:428193	|	
Campanula akgulii	|	1241014	|	synonym	|	Campanula akgulii (synonym for Campanula akguelii)	|	ncbi:1241014	|	
Campanula kaadargavanica	|	1241102	|	synonym	|	Campanula kaadargavanica (synonym for Campanula kadargavanica)	|	ncbi:1241102	|	
Campanula kadargavinica	|	1241102	|	misspelling	|	Campanula kadargavinica (synonym for Campanula kadargavanica)	|	ncbi:1241102	|	
Campanula creuztburgii	|	428166	|	misspelling	|	Campanula creuztburgii (synonym for Campanula creutzburgii)	|	ncbi:428166	|	
Symphyandra pendula	|	239473	|	synonym	|	Symphyandra pendula (synonym for Campanula pendula)	|	ncbi:239473	|	
Campanula cespitosa	|	361377	|	synonym	|	Campanula cespitosa (synonym for Campanula caespitosa)	|	ncbi:361377	|	
Campanula rainerii	|	361397	|	synonym	|	Campanula rainerii (synonym for Campanula raineri)	|	ncbi:361397	|	
Campanula drabifolia subsp. pinatzii	|	428184	|	synonym	|	Campanula drabifolia subsp. pinatzii (synonym for Campanula pinatzii)	|	ncbi:428184	|	
Campanula cochlearifolia	|	428162	|	synonym	|	Campanula cochlearifolia (synonym for Campanula cochleariifolia)	|	ncbi:428162	|	
Campanula cohleariifolia	|	428162	|	misspelling	|	Campanula cohleariifolia (synonym for Campanula cochleariifolia)	|	ncbi:428162	|	
Campanula patula subsp. abietina	|	428152	|	synonym	|	Campanula patula subsp. abietina (synonym for Campanula abietina)	|	ncbi:428152	|	
Campanula ptarmicaefolia	|	428189	|	synonym	|	Campanula ptarmicaefolia (synonym for Campanula ptarmicifolia)	|	ncbi:428189	|	
Campanula siegizmundi	|	239424	|	synonym	|	Campanula siegizmundi (synonym for Campanula siegizmundii)	|	ncbi:239424	|	
Campanulastrum americanum	|	239430	|	synonym	|	Campanulastrum americanum (synonym for Campanula americana)	|	ncbi:239430	|	
Campanula kolanatiana	|	239408	|	misspelling	|	Campanula kolanatiana (synonym for Campanula kolenatiana)	|	ncbi:239408	|	
Campanula cichoracea	|	1241120	|	synonym	|	Campanula cichoracea (synonym for Campanula lingulata)	|	ncbi:1241120	|	
Campanula scithia	|	1241172	|	misspelling	|	Campanula scithia (synonym for Campanula sciathia)	|	ncbi:1241172	|	
Campanula komarovi	|	1241107	|	misspelling	|	Campanula komarovi (synonym for Campanula komarovii)	|	ncbi:1241107	|	
Symphyandra zangezur	|	440380	|	synonym	|	Symphyandra zangezur (synonym for Campanula zangezura)	|	ncbi:440380	|	
Symphyandra zangezura	|	440380	|	synonym	|	Symphyandra zangezura (synonym for Campanula zangezura)	|	ncbi:440380	|	
Campanula sibirica subsp. hohenackeri	|	239407	|	synonym	|	Campanula sibirica subsp. hohenackeri (synonym for Campanula hohenackeri)	|	ncbi:239407	|	
Petkovia orphanidea	|	440379	|	synonym	|	Petkovia orphanidea (synonym for Campanula orphanidea)	|	ncbi:440379	|	
Campanula afra subsp. hypocrateriformis	|	1399555	|	synonym	|	Campanula afra subsp. hypocrateriformis (synonym for Campanula hypocrateriformis)	|	ncbi:1399555	|	
Campanula bonomiensis	|	361374	|	misspelling	|	Campanula bonomiensis (synonym for Campanula bononiensis)	|	ncbi:361374	|	
Gadellia lactiflora	|	239443	|	synonym	|	Gadellia lactiflora (synonym for Campanula lactiflora)	|	ncbi:239443	|	
Campanula cymbaliaria	|	428167	|	misspelling	|	Campanula cymbaliaria (synonym for Campanula cymbalaria)	|	ncbi:428167	|	
Campanula shettleri	|	1241176	|	misspelling	|	Campanula shettleri (synonym for Campanula shetleri)	|	ncbi:1241176	|	
Campanula takeshimana	|	989334	|	misspelling	|	Campanula takeshimana (synonym for Campanula takesimana)	|	ncbi:989334	|	
Campanula var. takesimana	|	989334	|	misspelling	|	Campanula var. takesimana (synonym for Campanula takesimana)	|	ncbi:989334	|	
Campanula garganica subsp. cephallenica	|	361376	|	synonym	|	Campanula garganica subsp. cephallenica (synonym for Campanula cephallenica)	|	ncbi:361376	|	
Campanula bertoale	|	1241035	|	misspelling	|	Campanula bertoale (synonym for Campanula bertolae)	|	ncbi:1241035	|	
Campanula ariena	|	1241024	|	misspelling	|	Campanula ariena (synonym for Campanula ariana)	|	ncbi:1241024	|	
