name	|	uid	|	type	|	uniqname	|	
Coreocarpus parthenioides var. heterocarpus (A.Gray) S.F.Blake	|	1097488	|		|	Coreocarpus parthenioides var. heterocarpus (A.Gray) S.F.Blake (synonym for Coreocarpus parthenioides var. heterocarpus)	|	
Brickellia tenera	|	1007557	|		|	Brickellia tenera (synonym for Brickellia californica)	|	
Lysipomia subpeltata McVaugh	|	263298	|		|	Lysipomia subpeltata McVaugh (synonym for Lysipomia subpeltata)	|	
Selloa glutinosa	|	19538	|		|	Selloa glutinosa (synonym for Gymnosperma glutinosum)	|	
Chuquiraga avellanedae Lorentz	|	1028938	|		|	Chuquiraga avellanedae Lorentz (synonym for Chuquiraga avellanedae)	|	
Lidbeckia pectinata P.J.Bergius	|	381411	|		|	Lidbeckia pectinata P.J.Bergius (synonym for Lidbeckia pectinata)	|	
Hieracium pseudonigrescens	|	360500	|		|	Hieracium pseudonigrescens (synonym for Hieracium atratum)	|	
Aster biennis	|	4727396	|		|	Aster biennis (synonym for Kalimeris tatarica)	|	
Downingia corymbosa	|	977485	|		|	Downingia corymbosa (synonym for Downingia elegans)	|	
Chrysanthemum coronatum	|	472707	|		|	Chrysanthemum coronatum (synonym for Chrysanthemum coronarium)	|	
Porophyllum caesium	|	185376	|		|	Porophyllum caesium (synonym for Porophyllum gracile)	|	
Pterocypsela laciniata	|	678386	|		|	Pterocypsela laciniata (synonym for Lactuca indica)	|	
Pyrethrum elegans	|	1019547	|		|	Pyrethrum elegans (synonym for Tripleurospermum maritimum subsp. inodorum)	|	
Matricaria balsamita	|	616342	|		|	Matricaria balsamita (synonym for Tanacetum balsamita)	|	
Hedypnois arenaria	|	621442	|		|	Hedypnois arenaria (synonym for Hedypnois rhagadioloides)	|	
Launaea arborescence	|	735694	|		|	Launaea arborescence (synonym for Launaea arborescens)	|	
Anthemis tomentosa L.	|	737989	|		|	Anthemis tomentosa L. (synonym for Anthemis tomentosa)	|	
Hieracium pseudopilosella Ten.	|	1095918	|		|	Hieracium pseudopilosella Ten. (synonym for Hieracium pseudopilosella)	|	
Celmisia bellidioides Hook.f.	|	375930	|		|	Celmisia bellidioides Hook.f. (synonym for Celmisia bellidioides)	|	
great blue lobelia	|	609321	|		|	great blue lobelia (synonym for Lobelia siphilitica)	|	
