uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
511898	|	54957	|	Echinops	|	genus	|	ncbi:32194,gbif:3109550	|		|		|	
2951	|	511898	|	Echinops ilicifolius	|	species	|	ncbi:909158	|		|		|	
2953	|	511898	|	Echinops integrifolius	|	species	|	ncbi:909159	|		|		|	
2955	|	511898	|	Echinops griffithianus	|	species	|	ncbi:909154	|		|		|	
2957	|	511898	|	Echinops hoehnelii	|	species	|	ncbi:909155	|		|		|	
2960	|	511898	|	Echinops hololeucus	|	species	|	ncbi:909156	|		|		|	
2962	|	511898	|	Echinops hystrichoides	|	species	|	ncbi:909157	|		|		|	
2964	|	511898	|	Echinops ghoranus	|	species	|	ncbi:909150	|		|		|	
599585	|	511898	|	Echinops glaberrimus	|	species	|	ncbi:909151,gbif:5392708	|		|		|	
2966	|	511898	|	Echinops gmelini	|	species	|	ncbi:909152	|		|		|	
2968	|	511898	|	Echinops graecus	|	species	|	ncbi:909153,gbif:5392944	|		|		|	
13142	|	511898	|	Echinops spinosissimus	|	species	|	ncbi:143198,gbif:5392840	|		|		|	
479366	|	13142	|	Echinops spinosissimus subsp. neumayeri	|	subspecies	|	ncbi:1185383	|		|	infraspecific	|	
147673	|	13142	|	Echinops spinosissimus subsp. bithynicus	|	subspecies	|	ncbi:274419	|		|	infraspecific	|	
833728	|	13142	|	Echinops spinosissimus subsp. macrolepis	|	subspecies	|	ncbi:909180	|		|	infraspecific	|	
479383	|	13142	|	Echinops spinosissimus subsp. spinosissimus	|	subspecies	|	ncbi:1185384	|		|	infraspecific	|	
1002317	|	13142	|	Echinops spinosissimus subsp. spinosus	|	subspecies	|	ncbi:910531	|		|	infraspecific	|	
13146	|	511898	|	Echinops viscosus	|	species	|	ncbi:143199	|		|		|	
108811	|	13146	|	Echinops viscosus subsp. viscosus	|	subspecies	|	ncbi:1134906	|		|	infraspecific	|	
25036	|	511898	|	Echinops sphaerocephalus	|	species	|	ncbi:92910,gbif:5392883	|		|		|	
54812	|	25036	|	Echinops sphaerocephalus subsp. albidus	|	subspecies	|	ncbi:909178	|		|	sibling_higher,infraspecific	|	
363788	|	25036	|	Echinops sphaerocephalus subsp. sphaerocephalus	|	subspecies	|	ncbi:910528	|		|	sibling_higher,infraspecific	|	
842263	|	25036	|	Echinops sphaerocephalus subsp. taygeteus	|	subspecies	|	ncbi:1185382	|		|	sibling_higher,infraspecific	|	
3894847	|	25036	|	Echinops dagestanicus	|	species	|	gbif:5392738	|		|	sibling_lower,infraspecific	|	
54797	|	511898	|	Echinops parviflorus	|	species	|	ncbi:909172	|		|		|	
54803	|	511898	|	Echinops nizvanus	|	species	|	ncbi:909170	|		|		|	
54805	|	511898	|	Echinops nuratavicus	|	species	|	ncbi:909171	|		|		|	
323510	|	511898	|	Echinops ritrodes	|	species	|	ncbi:909177	|		|		|	
54808	|	511898	|	Echinops polygamus	|	species	|	ncbi:909174,gbif:5392745	|		|		|	
54810	|	511898	|	Echinops pungens	|	species	|	ncbi:909175,gbif:5392914	|		|		|	
54799	|	54810	|	Echinops pungens var. polyacanthus	|	varietas	|	ncbi:909173,gbif:5392882	|		|	sibling_higher,infraspecific	|	
670035	|	54810	|	Echinops pungens var. pungens	|	varietas	|	ncbi:1151794	|		|	sibling_higher,infraspecific	|	
833720	|	54810	|	Echinops pungens var. transcaucasicus	|	varietas	|	ncbi:909183,gbif:5392805	|		|	sibling_higher,infraspecific	|	
912194	|	54810	|	Echinops pungens var. adenoclados	|	varietas	|	ncbi:1136341	|		|	sibling_higher,infraspecific	|	
