name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Diosphaera	|	3161935	|	synonym	|	Diosphaera (synonym for Campanula)	|	gbif:3161935	|	
Rapuntium	|	3161935	|	synonym	|	Rapuntium (synonym for Campanula)	|	gbif:3161935	|	
Sachokiella	|	3161935	|	synonym	|	Sachokiella (synonym for Campanula)	|	gbif:3161935	|	
Symphiandra	|	3161935	|	synonym	|	Symphiandra (synonym for Campanula)	|	gbif:3161935	|	
Tracheliopsis	|	3161935	|	synonym	|	Tracheliopsis (synonym for Campanula)	|	gbif:3161935	|	
Azorina	|	3161935	|	synonym	|	Azorina (synonym for Campanula)	|	gbif:3161935	|	
Trematocarpus	|	3161791	|	synonym	|	Trematocarpus (synonym for Trematolobelia)	|	gbif:3161791	|	
Jasionella	|	3165617	|	synonym	|	Jasionella (synonym for Jasione)	|	gbif:3165617	|	
Ovilla	|	3165617	|	synonym	|	Ovilla (synonym for Jasione)	|	gbif:3165617	|	
Lightfootia	|	3167091	|	synonym	|	Lightfootia (synonym for Wahlenbergia)	|	gbif:3167091	|	
Cervicina	|	3167091	|	synonym	|	Cervicina (synonym for Wahlenbergia)	|	gbif:3167091	|	
Cephalostigma	|	3167091	|	synonym	|	Cephalostigma (synonym for Wahlenbergia)	|	gbif:3167091	|	
Schultesia	|	3167091	|	synonym	|	Schultesia (synonym for Wahlenbergia)	|	gbif:3167091	|	
Campanopsis	|	3167091	|	synonym	|	Campanopsis (synonym for Wahlenbergia)	|	gbif:3167091	|	
Synotoma	|	3161911	|	synonym	|	Synotoma (synonym for Physoplexis)	|	gbif:3161911	|	
Phyllocharis	|	3166250	|	synonym	|	Phyllocharis (synonym for Ruthiella)	|	gbif:3166250	|	
Legouzia	|	3158769	|	synonym	|	Legouzia (synonym for Legousia)	|	gbif:3158769	|	
Specularia	|	3158769	|	synonym	|	Specularia (synonym for Legousia)	|	gbif:3158769	|	
Pentagonia	|	3158769	|	synonym	|	Pentagonia (synonym for Legousia)	|	gbif:3158769	|	
Rollandia	|	3164495	|	synonym	|	Rollandia (synonym for Cyanea)	|	gbif:3164495	|	
Kittelia	|	3164495	|	synonym	|	Kittelia (synonym for Cyanea)	|	gbif:3164495	|	
Asyneura	|	3168049	|	synonym	|	Asyneura (synonym for Asyneuma)	|	gbif:3168049	|	
Podanthum	|	3168049	|	synonym	|	Podanthum (synonym for Asyneuma)	|	gbif:3168049	|	
Asyneumopsis	|	3168049	|	synonym	|	Asyneumopsis (synonym for Asyneuma)	|	gbif:3168049	|	
Wittea	|	3166274	|	synonym	|	Wittea (synonym for Downingia)	|	gbif:3166274	|	
Bolelia	|	3166274	|	synonym	|	Bolelia (synonym for Downingia)	|	gbif:3166274	|	
Clintonia	|	3166274	|	synonym	|	Clintonia (synonym for Downingia)	|	gbif:3166274	|	
Pachydiscus	|	7326527	|	synonym	|	Pachydiscus (synonym for Wittsteinia)	|	gbif:7326527	|	
Periomphale	|	7326527	|	synonym	|	Periomphale (synonym for Wittsteinia)	|	gbif:7326527	|	
